no,province,provinceID,district,districtID,neighborhood,neighborhoodID
1,Amasya,27,Merkez,152,Abacı Köyü,126993
2,Amasya,27,Merkez,152,Akbilek,206525
3,Amasya,27,Merkez,152,Aksalur Köyü,126995
4,Amasya,27,Merkez,152,Aktaş Köyü,126996
5,Amasya,27,Merkez,152,Akyazı Köyü,127000
6,Amasya,27,Merkez,152,Alakadı Köyü,126997
7,Amasya,27,Merkez,152,Albayrak Köyü,180699
8,Amasya,27,Merkez,152,Ardıçlar Köyü,126998
9,Amasya,27,Merkez,152,Avşar Köyü,127001
10,Amasya,27,Merkez,152,Aydınca Köyü,127328
11,Amasya,27,Merkez,152,Aydınlık Köyü,126999
12,Amasya,27,Merkez,152,Aydoğdu Köyü,127002
13,Amasya,27,Merkez,152,Bağlarüstü Köyü,127005
14,Amasya,27,Merkez,152,Bağlıca Köyü,127009
15,Amasya,27,Merkez,152,Bayat Köyü,127007
16,Amasya,27,Merkez,152,Beke Köyü,127004
17,Amasya,27,Merkez,152,Beldağı Köyü,127003
18,Amasya,27,Merkez,152,Beyazıtpaşa,127215
19,Amasya,27,Merkez,152,Boğa Köyü,127006
20,Amasya,27,Merkez,152,Boğaz Köyü,127011
21,Amasya,27,Merkez,152,Böke Köyü,127008
22,Amasya,27,Merkez,152,Bulduklu Köyü,127010
23,Amasya,27,Merkez,152,Büyükkızılca Köyü,201432
24,Amasya,27,Merkez,152,Çakallar,206526
25,Amasya,27,Merkez,152,Çatalçam Köyü,127014
26,Amasya,27,Merkez,152,Çavuş Köyü,127012
27,Amasya,27,Merkez,152,Çengelkayı Köyü,127015
28,Amasya,27,Merkez,152,Çiğdemlik Köyü,127013
29,Amasya,27,Merkez,152,Çivi Köyü,127326
30,Amasya,27,Merkez,152,Dadıkavakçayırı Köyü,127016
31,Amasya,27,Merkez,152,Damudere Köyü,127017
32,Amasya,27,Merkez,152,Değirmendere Köyü,127019
33,Amasya,27,Merkez,152,Demetevler,166229
34,Amasya,27,Merkez,152,Dere,127216
35,Amasya,27,Merkez,152,Direkli Köyü,127018
36,Amasya,27,Merkez,152,Doğantepe Köyü,127332
37,Amasya,27,Merkez,152,Duruca Köyü,201421
38,Amasya,27,Merkez,152,Eliktekke Köyü,127327
39,Amasya,27,Merkez,152,Ermiş Köyü,127318
40,Amasya,27,Merkez,152,Eskikızılca Köyü,201422
41,Amasya,27,Merkez,152,Ezinepazarı Köyü,127333
42,Amasya,27,Merkez,152,Fethiye,126974
43,Amasya,27,Merkez,152,Fındıklı Köyü,127020
44,Amasya,27,Merkez,152,Gerne Köyü,126994
45,Amasya,27,Merkez,152,Gökdere Köyü,127021
46,Amasya,27,Merkez,152,Gökmedrese,126976
47,Amasya,27,Merkez,152,Göllübağları,206527
48,Amasya,27,Merkez,152,Gözlek Köyü,127022
49,Amasya,27,Merkez,152,Gümüşlü,126975
50,Amasya,27,Merkez,152,Hacı İlyas,126981
51,Amasya,27,Merkez,152,Halıfeli Köyü,127023
52,Amasya,27,Merkez,152,Hasabdal Köyü,127024
53,Amasya,27,Merkez,152,Hatunye,126979
54,Amasya,27,Merkez,152,Helkis,126980
55,Amasya,27,Merkez,152,Helvacı,126977
56,Amasya,27,Merkez,152,Hızırpaşa,126978
57,Amasya,27,Merkez,152,Ilgazi Köyü,127025
58,Amasya,27,Merkez,152,İbecik Köyü,127026
59,Amasya,27,Merkez,152,İhsaniye,126982
60,Amasya,27,Merkez,152,İlyas Köyü,127027
61,Amasya,27,Merkez,152,İpekköy Köyü,127067
62,Amasya,27,Merkez,152,Kale Köyü,127030
63,Amasya,27,Merkez,152,Kaleboğazı Köyü,127036
64,Amasya,27,Merkez,152,Kapıkaya Köyü,127047
65,Amasya,27,Merkez,152,Karaali Köyü,127042
66,Amasya,27,Merkez,152,Karaçavuş Köyü,127028
67,Amasya,27,Merkez,152,Karaibrahim Köyü,127043
68,Amasya,27,Merkez,152,Karakise Köyü,127029
69,Amasya,27,Merkez,152,Karaköprü Köyü,127032
70,Amasya,27,Merkez,152,Karasenir Köyü,127046
71,Amasya,27,Merkez,152,Karataş Köyü,127040
72,Amasya,27,Merkez,152,Karsan Köyü,127041
73,Amasya,27,Merkez,152,Kayabaşı Köyü,127045
74,Amasya,27,Merkez,152,Kayacık Köyü,127335
75,Amasya,27,Merkez,152,Kayrak Köyü,127031
76,Amasya,27,Merkez,152,Keçili Köyü,205315
77,Amasya,27,Merkez,152,Keşlik Köyü,127035
78,Amasya,27,Merkez,152,Kızılkışlacık Köyü,127050
79,Amasya,27,Merkez,152,Kızoğlu Köyü,170991
80,Amasya,27,Merkez,152,Kızseki Köyü,127037
81,Amasya,27,Merkez,152,Kirazlıdere,126983
82,Amasya,27,Merkez,152,Koza,166230
83,Amasya,27,Merkez,152,Köyceğiz Köyü,127038
84,Amasya,27,Merkez,152,Kurşunlu,126984
85,Amasya,27,Merkez,152,Kutu Köyü,127048
86,Amasya,27,Merkez,152,Kuzgeçe Köyü,127039
87,Amasya,27,Merkez,152,Küçükkızılca Köyü,127044
88,Amasya,27,Merkez,152,Mahmatlar Köyü,127053
89,Amasya,27,Merkez,152,Mehmet Paşa,126985
90,Amasya,27,Merkez,152,Meşeliçiftliği Köyü,127052
91,Amasya,27,Merkez,152,Musa Köyü,127054
92,Amasya,27,Merkez,152,Oluz Köyü,127071
93,Amasya,27,Merkez,152,Ormanözü Köyü,127055
94,Amasya,27,Merkez,152,Ortaköy Köyü,127057
95,Amasya,27,Merkez,152,Ovasaray Köyü,127056
96,Amasya,27,Merkez,152,Özfındıklı Köyü,205316
97,Amasya,27,Merkez,152,Pirinççi,126986
98,Amasya,27,Merkez,152,Saraycık Köyü,127060
99,Amasya,27,Merkez,152,Sarayözü Köyü,127063
100,Amasya,27,Merkez,152,Sarıalan Köyü,127062
101,Amasya,27,Merkez,152,Sarıkız Köyü,170191
102,Amasya,27,Merkez,152,Sarımeşe Köyü,127061
103,Amasya,27,Merkez,152,Sarıyar Köyü,127069
104,Amasya,27,Merkez,152,Savadiye,126987
105,Amasya,27,Merkez,152,Saz Köyü,127059
106,Amasya,27,Merkez,152,Sevincer Köyü,127058
107,Amasya,27,Merkez,152,Sıracevizler Köyü,127068
108,Amasya,27,Merkez,152,Sofular,126988
109,Amasya,27,Merkez,152,Soma Köyü,127316
110,Amasya,27,Merkez,152,Şamlar,126990
111,Amasya,27,Merkez,152,Şehirüstü,126989
112,Amasya,27,Merkez,152,Şeyhcui Köyü,127066
113,Amasya,27,Merkez,152,Şeyhsadi Köyü,127065
114,Amasya,27,Merkez,152,Tatar Köyü,127070
115,Amasya,27,Merkez,152,Tuzsuz Köyü,127315
116,Amasya,27,Merkez,152,Uygur/İnönü,203829
117,Amasya,27,Merkez,152,Uygur/Yeni,203828
118,Amasya,27,Merkez,152,Üçler,126991
119,Amasya,27,Merkez,152,Ümük Köyü,127317
120,Amasya,27,Merkez,152,Yağcıabdal Köyü,127321
121,Amasya,27,Merkez,152,Yağmur Köyü,127320
